lemma,present_phones,past_phones
bind,B AY N D,B AW N D
receive,R AH S IY V,R AH S IY V D
eye,AY,AY D
come,K AH M,K EY M
signify,S IH G N AH F AY,S IH G N AH F AY D
employ,EH M P L OY,EH M P L OY D
say,S EY,S EH D
say,S EY,S EH D
repress,R IY P R EH S,R IY P R EH S T
it,IH T,IH T
answer,AE N S ER,AE N S ER D
frustrate,F R AH S T R EY T,F R AH S T R EY T AH D
it,IH T,IH T
it,IH T,IH T
remain,R IH M EY N,R IH M EY N D
it,IH T,IH T
de,D IY,D IH D
view,V Y UW,V Y UW D
it,IH T,IH T
it,IH T,IH T
enter,EH N T ER,EH N T ER D
get,G EH T,G AA T
cost,K AA S T,K AA S T
feel,F IY L,F EH L T
it,IH T,IH T
come,K AH M,K EY M
provide,P R AH V AY D,P R AH V AY D IH D
it,IH T,IH T
it,IH T,IH T
plunge,P L AH N JH,P L AH N JH D
summon,S AH M AH N,S AH M AH N D
have,HH AE V,HH AE D
compute,K AH M P Y UW T,K AH M P Y UW T AH D
reduce,R AH D UW S,R AH D UW S T
unify,Y UW N AH F AY,Y UW N AH F AY D
it,IH T,IH T
have,HH AE V,HH AE D
have,HH AE V,HH AE D
desert,D EH Z ER T,D IH Z ER T IH D
bind,B AY N D,B AW N D
have,HH AE V,HH AE D
eliminate,IH L IH M AH N EY T,IH L IH M AH N EY T IH D
call,K AO L,K AO L D
encourage,EH N K ER IH JH,EH N K ER IH JH D
distil,D IH S T IH L,D IH S T IH L D
say,S EY,S EH D
describe,D IH S K R AY B,D IH S K R AY B D
yield,Y IY L D,Y IY L D IH D
mention,M EH N SH AH N,M EH N SH AH N D
it,IH T,IH T
cut,K AH T,K AH T
warm,W AO R M,W AO R M D
detach,D IH T AE CH,D IH T AE CH T
have,HH AE V,HH AE D
reduce,R AH D UW S,R AH D UW S T
put,P UH T,P UH T
force,F AO R S,F AO R S T
come,K AH M,K EY M
move,M UW V,M UW V D
show,SH OW,SH OW D
cut,K AH T,K AH T
wash,W AA SH,W AA SH T
it,IH T,IH T
cost,K AA S T,K AA S T
it,IH T,IH T
cum,K AH M,K EY M
cause,K AA Z,K AA Z D
it,IH T,IH T
it,IH T,IH T
think,TH IH NG K,TH AO T
base,B EY S,B EY S T
elevate,EH L AH V EY T,EH L AH V EY T IH D
leave,L IY V,L EH F T
displease,D IH S P L IY Z,D IH S P L IY Z D
enter,EH N T ER,EH N T ER D
feel,F IY L,F EH L T
it,IH T,IH T
review,R IY V Y UW,R IY V Y UW D
it,IH T,IH T
carry,K AE R IY,K AE R IY D
marke,M AA R K,M AA R K T
declare,D IH K L EH R,D IH K L EH R D
put,P UH T,P UH T
start,S T AA R T,S T AA R T IH D
make,M EY K,M EY D
leave,L IY V,L EH F T
separate,S EH P ER EY T,S EH P ER EY T IH D
feel,F IY L,F EH L T
entwine,EH N T W AY N,EH N T W AY N D
standardize,S T AE N D ER D AY Z,S T AE N D ER D AY Z D
it,IH T,IH T
de,D IY,D IH D
worth,W ER TH,W ER TH
pass,P AE S,P AE S T
shave,SH EY V,SH EY V D
it,IH T,IH T
issue,IH SH UW,IH SH UW D
provide,P R AH V AY D,P R AH V AY D IH D
make,M EY K,M EY D
admit,AH D M IH T,AH D M IH T IH D
start,S T AA R T,S T AA R T IH D
it,IH T,IH T
begin,B IH G IH N,B IH G AE N
think,TH IH NG K,TH AO T
it,IH T,IH T
comply,K AH M P L AY,K AH M P L AY D
live,L AY V,L IH V D
have,HH AE V,HH AE D
counter,K AW N T ER,K AW N T ER D
use,Y UW S,Y UW Z D
it,IH T,IH T
float,F L OW T,F L OW T AH D
it,IH T,IH T
call,K AO L,K AO L D
abuse,AH B Y UW S,AH B Y UW Z D
de,D IY,D IH D
prepare,P R IY P EH R,P R IY P EH R D
desire,D IH Z AY ER,D IH Z AY ER D
come,K AH M,K EY M
change,CH EY N JH,CH EY N JH D
describe,D IH S K R AY B,D IH S K R AY B D
pit,P IH T,P IH T IH D
it,IH T,IH T
pay,P EY,P EY D
have,HH AE V,HH AE D
call,K AO L,K AO L D
view,V Y UW,V Y UW D
let,L EH T,L EH T
disagree,D IH S AH G R IY,D IH S AH G R IY D
it,IH T,IH T
use,Y UW S,Y UW Z D
break,B R EY K,B R OW K
last,L AE S T,L AE S T AH D
unite,Y UW N AY T,Y UW N AY T IH D
shoot,SH UW T,SH AA T
doe,D OW,D IH D
hear,HH IY R,HH ER D
have,HH AE V,HH AE D
elaborate,IH L AE B R AH T,IH L AE B ER EY T AH D
reassure,R IY AH SH UH R,R IY AH SH UH R D
derive,D ER AY V,D ER AY V D
set,S EH T,S EH T
it,IH T,IH T
de,D IY,D IH D
abridge,AH B R IH JH,AH B R IH JH D
pay,P EY,P EY D
write,R AY T,R OW T
base,B EY S,B EY S T
de,D IY,D IH D
earn,ER N,ER N D
call,K AO L,K AO L D
squeeze,S K W IY Z,S K W IY Z D
have,HH AE V,HH AE D
create,K R IY EY T,K R IY EY T AH D
urge,ER JH,ER JH D
unite,Y UW N AY T,Y UW N AY T IH D
provide,P R AH V AY D,P R AH V AY D IH D
outdate,AW T D EY T,AW T D EY T IH D
it,IH T,IH T
use,Y UW S,Y UW Z D
include,IH N K L UW D,IH N K L UW D AH D
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
have,HH AE V,HH AE D
irritate,IH R IH T EY T,IH R AH T EY T AH D
picture,P IH K CH ER,P IH K CH ER D
lapse,L AE P S,L AE P S T
certify,S ER T AH F AY,S ER T AH F AY D
output,AW T P UH T,AW T P UH T
dispose,D IH S P OW Z,D IH S P OW Z D
receive,R AH S IY V,R AH S IY V D
carry,K AE R IY,K AE R IY D
sigh,S AY,S AY D
involve,IH N V AA L V,IH N V AA L V D
whirl,W ER L,W ER L D
cum,K AH M,K EY M
pay,P EY,P EY D
aim,EY M,EY M D
say,S EY,S EH D
it,IH T,IH T
generate,JH EH N ER EY T,JH EH N ER EY T AH D
it,IH T,IH T
read,R EH D,R EH D
have,HH AE V,HH AE D
gain,G EY N,G EY N D
use,Y UW S,Y UW Z D
rouse,R AW S,R AW Z D
provide,P R AH V AY D,P R AH V AY D IH D
describe,D IH S K R AY B,D IH S K R AY B D
address,AE D R EH S,AH D R EH S T
benefit,B EH N AH F IH T,B EH N AH F IH T IH D
visit,V IH Z IH T,V IH Z IH T IH D
ask,AE S K,AE S K T
leave,L IY V,L EH F T
complete,K AH M P L IY T,K AH M P L IY T AH D
assume,AH S UW M,AH S UW M D
put,P UH T,P UH T
evolve,IH V AA L V,IH V AA L V D
involve,IH N V AA L V,IH N V AA L V D
allude,AH L UW D,AH L UW D IH D
it,IH T,IH T
leave,L IY V,L EH F T
banish,B AE N IH SH,B AE N IH SH T
it,IH T,IH T
drop,D R AA P,D R AA P T
come,K AH M,K EY M
it,IH T,IH T
have,HH AE V,HH AE D
observe,AH B Z ER V,AH B Z ER V D
marry,M EH R IY,M EH R IY D
it,IH T,IH T
argue,AA R G Y UW,AA R G Y UW D
it,IH T,IH T
press,P R EH S,P R EH S T
come,K AH M,K EY M
imitate,IH M AH T EY T,IH M AH T EY T IH D
it,IH T,IH T
determine,D AH T ER M AH N,D IH T ER M AH N D
sublet,S AH B L EH T,S AH B L EH T
doe,D OW,D IH D
send,S EH N D,S EH N T
come,K AH M,K EY M
describe,D IH S K R AY B,D IH S K R AY B D
have,HH AE V,HH AE D
pay,P EY,P EY D
it,IH T,IH T
remove,R IY M UW V,R IY M UW V D
de,D IY,D IH D
walk,W AO K,W AO K T
cum,K AH M,K EY M
develop,D IH V EH L AH P,D IH V EH L AH P T
reveal,R IH V IY L,R IH V IY L D
it,IH T,IH T
it,IH T,IH T
say,S EY,S EH D
change,CH EY N JH,CH EY N JH D
achieve,AH CH IY V,AH CH IY V D
it,IH T,IH T
go,G OW,W EH N T
walk,W AO K,W AO K T
tire,T AY ER,T AY ER D
have,HH AE V,HH AE D
come,K AH M,K EY M
base,B EY S,B EY S T
generate,JH EH N ER EY T,JH EH N ER EY T AH D
emanate,EH M AH N EY T,EH M AH N EY T IH D
use,Y UW S,Y UW Z D
it,IH T,IH T
make,M EY K,M EY D
please,P L IY Z,P L IY Z D
include,IH N K L UW D,IH N K L UW D AH D
have,HH AE V,HH AE D
define,D IH F AY N,D IH F AY N D
point,P OY N T,P OY N T IH D
modulate,M AO JH Y UW L EY T,M AO JH Y UW L EY T IH D
snap,S N AE P,S N AE P T
bring,B R IH NG,B R AO T
stagger,S T AE G ER,S T AE G ER D
de,D IY,D IH D
urge,ER JH,ER JH D
think,TH IH NG K,TH AO T
base,B EY S,B EY S T
come,K AH M,K EY M
make,M EY K,M EY D
go,G OW,W EH N T
put,P UH T,P UH T
stumble,S T AH M B AH L,S T AH M B AH L D
have,HH AE V,HH AE D
say,S EY,S EH D
consist,K AH N S IH S T,K AH N S IH S T AH D
it,IH T,IH T
become,B IH K AH M,B IH K EY M
it,IH T,IH T
fee,F IY,F IY D
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
return,R IH T ER N,R IH T ER N D
send,S EH N D,S EH N T
have,HH AE V,HH AE D
it,IH T,IH T
have,HH AE V,HH AE D
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
express,IH K S P R EH S,IH K S P R EH S T
de,D IY,D IH D
have,HH AE V,HH AE D
angle,AE NG G AH L,AE NG G AH L D
it,IH T,IH T
bind,B AY N D,B AW N D
reduce,R AH D UW S,R AH D UW S T
damage,D AE M AH JH,D AE M AH JH D
ask,AE S K,AE S K T
lend,L EH N D,L EH N T
it,IH T,IH T
say,S EY,S EH D
it,IH T,IH T
it,IH T,IH T
divide,D IH V AY D,D IH V AY D IH D
exercise,EH K S ER S AY Z,EH K S ER S AY Z D
expose,IH K S P OW Z,IH K S P OW Z D
it,IH T,IH T
have,HH AE V,HH AE D
say,S EY,S EH D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
it,IH T,IH T
think,TH IH NG K,TH AO T
attack,AH T AE K,AH T AE K T
develop,D IH V EH L AH P,D IH V EH L AH P T
extract,EH K S T R AE K T,EH K S T R AE K T IH D
have,HH AE V,HH AE D
it,IH T,IH T
put,P UH T,P UH T
have,HH AE V,HH AE D
recruit,R AH K R UW T,R IH K R UW T IH D
it,IH T,IH T
it,IH T,IH T
twist,T W IH S T,T W IH S T IH D
it,IH T,IH T
remain,R IH M EY N,R IH M EY N D
edit,EH D AH T,EH D AH T AH D
employ,EH M P L OY,EH M P L OY D
letter,L EH T ER,L EH T ER D
it,IH T,IH T
base,B EY S,B EY S T
have,HH AE V,HH AE D
carry,K AE R IY,K AE R IY D
say,S EY,S EH D
divide,D IH V AY D,D IH V AY D IH D
have,HH AE V,HH AE D
understand,AH N D ER S T AE N D,AH N D ER S T UH D
have,HH AE V,HH AE D
enter,EH N T ER,EH N T ER D
oppose,AH P OW Z,AH P OW Z D
decline,D IH K L AY N,D IH K L AY N D
have,HH AE V,HH AE D
it,IH T,IH T
use,Y UW S,Y UW Z D
it,IH T,IH T
put,P UH T,P UH T
meet,M IY T,M EH T
reunite,R IY UW N AY T,R IY UW N AY T IH D
prove,P R UW V,P R UW V D
come,K AH M,K EY M
it,IH T,IH T
shoot,SH UW T,SH AA T
speak,S P IY K,S P OW K
spring,S P R IH NG,S P R AE NG
break,B R EY K,B R OW K
amend,AH M EH N D,AH M EH N D IH D
go,G OW,W EH N T
become,B IH K AH M,B IH K EY M
compose,K AH M P OW Z,K AH M P OW Z D
whiz,W IH Z,W IH Z D
pay,P EY,P EY D
vanish,V AE N IH SH,V AE N IH SH T
mark,M AA R K,M AA R K T
output,AW T P UH T,AW T P UH T
come,K AH M,K EY M
become,B IH K AH M,B IH K EY M
set,S EH T,S EH T
overrule,OW V ER R UW L,OW V ER R UW L D
become,B IH K AH M,B IH K EY M
drive,D R AY V,D R OW V
compose,K AH M P OW Z,K AH M P OW Z D
it,IH T,IH T
place,P L EY S,P L EY S T
park,P AA R K,P AA R K T
march,M AA R CH,M AA R CH T
retreat,R IY T R IY T,R IY T R IY T AH D
describe,D IH S K R AY B,D IH S K R AY B D
determine,D AH T ER M AH N,D IH T ER M AH N D
it,IH T,IH T
have,HH AE V,HH AE D
streamline,S T R IY M L AY N,S T R IY M L AY N D
recount,R IH K AW N T,R IH K AW N T IH D
have,HH AE V,HH AE D
kick,K IH K,K IH K T
come,K AH M,K EY M
leave,L IY V,L EH F T
doe,D OW,D IH D
critique,K R AH T IY K,K R IH T IY K T
onset,AA N S EH T,AA N S EH T
develop,D IH V EH L AH P,D IH V EH L AH P T
it,IH T,IH T
push,P UH SH,P UH SH T
it,IH T,IH T
sell,S EH L,S OW L D
it,IH T,IH T
enforce,EH N F AO R S,EH N F AO R S T
fund,F AH N D,F AH N D AH D
examine,IH G Z AE M IH N,IH G Z AE M AH N D
get,G EH T,G AA T
say,S EY,S EH D
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
limit,L IH M AH T,L IH M AH T AH D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
wish,W IH SH,W IH SH T
it,IH T,IH T
pound,P AW N D,P AW N D IH D
it,IH T,IH T
make,M EY K,M EY D
have,HH AE V,HH AE D
de,D IY,D IH D
ask,AE S K,AE S K T
it,IH T,IH T
bind,B AY N D,B AW N D
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
become,B IH K AH M,B IH K EY M
come,K AH M,K EY M
it,IH T,IH T
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
doe,D OW,D IH D
place,P L EY S,P L EY S T
exchange,IH K S CH EY N JH,IH K S CH EY N JH D
treat,T R IY T,T R IY T IH D
push,P UH SH,P UH SH T
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
provide,P R AH V AY D,P R AH V AY D IH D
treat,T R IY T,T R IY T IH D
resemble,R IH Z EH M B AH L,R IH Z EH M B AH L D
give,G IH V,G EY V
it,IH T,IH T
it,IH T,IH T
make,M EY K,M EY D
de,D IY,D IH D
set,S EH T,S EH T
hear,HH IY R,HH ER D
focus,F OW K AH S,F OW K AH S T
it,IH T,IH T
receive,R AH S IY V,R AH S IY V D
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
ally,AE L AY,AH L AY D
evaluate,IH V AE L Y UW EY T,IH V AE L Y UW EY T AH D
pour,P AO R,P AO R D
use,Y UW S,Y UW Z D
remain,R IH M EY N,R IH M EY N D
make,M EY K,M EY D
pity,P IH T IY,P IH T IY D
manifest,M AE N AH F EH S T,M AE N AH F EH S T AH D
save,S EY V,S EY V D
it,IH T,IH T
start,S T AA R T,S T AA R T IH D
cum,K AH M,K EY M
indicate,IH N D AH K EY T,IH N D AH K EY T AH D
it,IH T,IH T
crowd,K R AW D,K R AW D AH D
produce,P R AH D UW S,P R AH D UW S T
entitle,EH N T AY T AH L,EH N T AY T AH L D
it,IH T,IH T
it,IH T,IH T
say,S EY,S EH D
expose,IH K S P OW Z,IH K S P OW Z D
start,S T AA R T,S T AA R T IH D
leave,L IY V,L EH F T
predict,P R IH D IH K T,P R IH D IH K T IH D
base,B EY S,B EY S T
dissolve,D IH Z AA L V,D IH Z AA L V D
pass,P AE S,P AE S T
irritate,IH R IH T EY T,IH R AH T EY T AH D
organize,AO R G AH N AY Z,AO R G AH N AY Z D
have,HH AE V,HH AE D
it,IH T,IH T
ask,AE S K,AE S K T
cost,K AA S T,K AA S T
embody,IH M B AA D IY,IH M B AA D IY D
it,IH T,IH T
doe,D OW,D IH D
use,Y UW S,Y UW Z D
have,HH AE V,HH AE D
it,IH T,IH T
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
it,IH T,IH T
hear,HH IY R,HH ER D
it,IH T,IH T
require,R IY K W AY ER,R IY K W AY ER D
ice,AY S,AY S T
de,D IY,D IH D
generate,JH EH N ER EY T,JH EH N ER EY T AH D
it,IH T,IH T
remark,R IH M AA R K,R IH M AA R K T
de,D IY,D IH D
it,IH T,IH T
label,L EY B AH L,L EY B AH L D
express,IH K S P R EH S,IH K S P R EH S T
use,Y UW S,Y UW Z D
de,D IY,D IH D
have,HH AE V,HH AE D
encourage,EH N K ER IH JH,EH N K ER IH JH D
engage,EH N G EY JH,EH N G EY JH D
determine,D AH T ER M AH N,D IH T ER M AH N D
reveal,R IH V IY L,R IH V IY L D
defer,D IH F ER,D IH F ER D
stagger,S T AE G ER,S T AE G ER D
estimate,EH S T AH M AH T,EH S T AH M EY T AH D
owe,OW,OW D
oppose,AH P OW Z,AH P OW Z D
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
advance,AH D V AE N S,AH D V AE N S T
de,D IY,D IH D
doe,D OW,D IH D
feel,F IY L,F EH L T
produce,P R AH D UW S,P R AH D UW S T
it,IH T,IH T
have,HH AE V,HH AE D
idealize,AY D IY L AY Z,AY D IY AH L AY Z D
answer,AE N S ER,AE N S ER D
have,HH AE V,HH AE D
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
make,M EY K,M EY D
snap,S N AE P,S N AE P T
charge,CH AA R JH,CH AA R JH D
leave,L IY V,L EH F T
provide,P R AH V AY D,P R AH V AY D IH D
include,IH N K L UW D,IH N K L UW D AH D
have,HH AE V,HH AE D
say,S EY,S EH D
have,HH AE V,HH AE D
amend,AH M EH N D,AH M EH N D IH D
lay,L EY,L EY D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
compose,K AH M P OW Z,K AH M P OW Z D
estimate,EH S T AH M AH T,EH S T AH M EY T AH D
spread,S P R EH D,S P R EH D
pass,P AE S,P AE S T
mean,M IY N,M EH N T
it,IH T,IH T
marke,M AA R K,M AA R K T
achieve,AH CH IY V,AH CH IY V D
it,IH T,IH T
ask,AE S K,AE S K T
march,M AA R CH,M AA R CH T
begin,B IH G IH N,B IH G AE N
describe,D IH S K R AY B,D IH S K R AY B D
prefer,P R AH F ER,P R AH F ER D
make,M EY K,M EY D
it,IH T,IH T
read,R EH D,R EH D
it,IH T,IH T
it,IH T,IH T
doe,D OW,D IH D
have,HH AE V,HH AE D
quote,K W OW T,K W OW T IH D
advance,AH D V AE N S,AH D V AE N S T
it,IH T,IH T
realize,R IY AH L AY Z,R IY AH L AY Z D
send,S EH N D,S EH N T
give,G IH V,G EY V
have,HH AE V,HH AE D
have,HH AE V,HH AE D
relate,R IH L EY T,R IH L EY T IH D
say,S EY,S EH D
say,S EY,S EH D
it,IH T,IH T
use,Y UW S,Y UW Z D
return,R IH T ER N,R IH T ER N D
derive,D ER AY V,D ER AY V D
concede,K AH N S IY D,K AH N S IY D IH D
doe,D OW,D IH D
desire,D IH Z AY ER,D IH Z AY ER D
have,HH AE V,HH AE D
vary,V EH R IY,V EH R IY D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
refer,R AH F ER,R AH F ER D
approve,AH P R UW V,AH P R UW V D
exhibit,IH G Z IH B IH T,IH G Z IH B AH T AH D
have,HH AE V,HH AE D
approve,AH P R UW V,AH P R UW V D
synthesize,S IH N TH AH S AY Z,S IH N TH IH S AY Z D
quote,K W OW T,K W OW T IH D
feel,F IY L,F EH L T
renounce,R IH N AW N S,R IH N AW N S T
include,IH N K L UW D,IH N K L UW D AH D
rock,R AA K,R AA K T
it,IH T,IH T
doe,D OW,D IH D
determine,D AH T ER M AH N,D IH T ER M AH N D
boil,B OY L,B OY L D
have,HH AE V,HH AE D
it,IH T,IH T
wish,W IH SH,W IH SH T
carry,K AE R IY,K AE R IY D
extrude,IH K S T R UW D,IH K S T R UW D AH D
read,R EH D,R EH D
it,IH T,IH T
say,S EY,S EH D
make,M EY K,M EY D
drive,D R AY V,D R OW V
it,IH T,IH T
it,IH T,IH T
dare,D EH R,D EH R D
fall,F AO L,F EH L
ponder,P AA N D ER,P AA N D ER D
sort,S AO R T,S AO R T IH D
it,IH T,IH T
remark,R IH M AA R K,R IH M AA R K T
it,IH T,IH T
it,IH T,IH T
observe,AH B Z ER V,AH B Z ER V D
call,K AO L,K AO L D
it,IH T,IH T
hear,HH IY R,HH ER D
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
begin,B IH G IH N,B IH G AE N
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
de,D IY,D IH D
have,HH AE V,HH AE D
it,IH T,IH T
save,S EY V,S EY V D
it,IH T,IH T
it,IH T,IH T
compete,K AH M P IY T,K AH M P IY T IH D
let,L EH T,L EH T
use,Y UW S,Y UW Z D
sit,S IH T,S AE T
doe,D OW,D IH D
it,IH T,IH T
it,IH T,IH T
express,IH K S P R EH S,IH K S P R EH S T
de,D IY,D IH D
illustrate,IH L AH S T R EY T,IH L AH S T R EY T AH D
imitate,IH M AH T EY T,IH M AH T EY T IH D
absorb,AH B Z AO R B,AH B Z AO R B D
flatter,F L AE T ER,F L AE T ER D
hear,HH IY R,HH ER D
charge,CH AA R JH,CH AA R JH D
it,IH T,IH T
snarl,S N AA R L,S N AA R AH L D
reset,R IY S EH T,R IY S EH T
it,IH T,IH T
commit,K AH M IH T,K AH M IH T IH D
stop,S T AA P,S T AA P T
limit,L IH M AH T,L IH M AH T AH D
de,D IY,D IH D
make,M EY K,M EY D
come,K AH M,K EY M
apply,AH P L AY,AH P L AY D
define,D IH F AY N,D IH F AY N D
it,IH T,IH T
doe,D OW,D IH D
have,HH AE V,HH AE D
it,IH T,IH T
study,S T AH D IY,S T AH D IY D
come,K AH M,K EY M
it,IH T,IH T
determine,D AH T ER M AH N,D IH T ER M AH N D
doe,D OW,D IH D
specialize,S P EH SH AH L AY Z,S P EH SH AH L AY Z D
announce,AH N AW N S,AH N AW N S T
broadcast,B R AO D K AE S T,B R AO D K AE S T
declare,D IH K L EH R,D IH K L EH R D
elapse,IH L AE P S,IH L AE P S T
prepare,P R IY P EH R,P R IY P EH R D
think,TH IH NG K,TH AO T
have,HH AE V,HH AE D
say,S EY,S EH D
remain,R IH M EY N,R IH M EY N D
study,S T AH D IY,S T AH D IY D
describe,D IH S K R AY B,D IH S K R AY B D
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
it,IH T,IH T
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
edit,EH D AH T,EH D AH T AH D
cum,K AH M,K EY M
make,M EY K,M EY D
fray,F R EY,F R EY D
have,HH AE V,HH AE D
shout,SH AW T,SH AW T IH D
go,G OW,W EH N T
flood,F L AH D,F L AH D AH D
haul,HH AO L,HH AO L D
pay,P EY,P EY D
worry,W ER IY,W ER IY D
cum,K AH M,K EY M
require,R IY K W AY ER,R IY K W AY ER D
mention,M EH N SH AH N,M EH N SH AH N D
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
make,M EY K,M EY D
unite,Y UW N AY T,Y UW N AY T IH D
define,D IH F AY N,D IH F AY N D
read,R EH D,R EH D
strike,S T R AY K,S T R AH K
doe,D OW,D IH D
introduce,IH N T R AH D UW S,IH N T R AH D UW S T
change,CH EY N JH,CH EY N JH D
answer,AE N S ER,AE N S ER D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
march,M AA R CH,M AA R CH T
it,IH T,IH T
have,HH AE V,HH AE D
study,S T AH D IY,S T AH D IY D
transfer,T R AE N S F ER,T R AE N S F ER D
it,IH T,IH T
announce,AH N AW N S,AH N AW N S T
argue,AA R G Y UW,AA R G Y UW D
record,R AH K AO R D,R AH K AO R D IH D
determine,D AH T ER M AH N,D IH T ER M AH N D
it,IH T,IH T
walk,W AO K,W AO K T
it,IH T,IH T
it,IH T,IH T
visit,V IH Z IH T,V IH Z IH T IH D
it,IH T,IH T
irritate,IH R IH T EY T,IH R AH T EY T AH D
set,S EH T,S EH T
employ,EH M P L OY,EH M P L OY D
entrap,IH N T R AE P,IH N T R AE P T
describe,D IH S K R AY B,D IH S K R AY B D
issue,IH SH UW,IH SH UW D
occur,AH K ER,AH K ER D
move,M UW V,M UW V D
house,HH AW S,HH AW Z D
estimate,EH S T AH M AH T,EH S T AH M EY T AH D
develop,D IH V EH L AH P,D IH V EH L AH P T
pay,P EY,P EY D
urge,ER JH,ER JH D
come,K AH M,K EY M
have,HH AE V,HH AE D
have,HH AE V,HH AE D
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
it,IH T,IH T
respond,R IH S P AA N D,R IH S P AA N D IH D
it,IH T,IH T
plot,P L AA T,P L AA T IH D
it,IH T,IH T
call,K AO L,K AO L D
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
mark,M AA R K,M AA R K T
start,S T AA R T,S T AA R T IH D
share,SH EH R,SH EH R D
moor,M UH R,M UH R D
let,L EH T,L EH T
provide,P R AH V AY D,P R AH V AY D IH D
treat,T R IY T,T R IY T IH D
construe,K AH N S T R UW,K AH N S T R UW D
it,IH T,IH T
modify,M AA D AH F AY,M AA D AH F AY D
absorb,AH B Z AO R B,AH B Z AO R B D
think,TH IH NG K,TH AO T
prejudice,P R EH JH AH D IH S,P R EH JH AH D AH S T
close,K L OW S,K L OW Z D
it,IH T,IH T
file,F AY L,F AY L D
remove,R IY M UW V,R IY M UW V D
have,HH AE V,HH AE D
return,R IH T ER N,R IH T ER N D
cultivate,K AH L T AH V EY T,K AH L T AH V EY T IH D
come,K AH M,K EY M
achieve,AH CH IY V,AH CH IY V D
it,IH T,IH T
develop,D IH V EH L AH P,D IH V EH L AH P T
animate,AE N AH M AH T,AE N AH M EY T IH D
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
have,HH AE V,HH AE D
erect,IH R EH K T,IH R EH K T AH D
it,IH T,IH T
stress,S T R EH S,S T R EH S T
de,D IY,D IH D
ask,AE S K,AE S K T
it,IH T,IH T
crank,K R AE NG K,K R AE NG K T
give,G IH V,G EY V
return,R IH T ER N,R IH T ER N D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
have,HH AE V,HH AE D
it,IH T,IH T
blend,B L EH N D,B L EH N D IH D
fold,F OW L D,F OW L D AH D
seal,S IY L,S IY L D
use,Y UW S,Y UW Z D
it,IH T,IH T
it,IH T,IH T
send,S EH N D,S EH N T
answer,AE N S ER,AE N S ER D
subject,S AH B JH EH K T,S AH B JH EH K T IH D
marke,M AA R K,M AA R K T
pass,P AE S,P AE S T
have,HH AE V,HH AE D
make,M EY K,M EY D
have,HH AE V,HH AE D
it,IH T,IH T
pass,P AE S,P AE S T
determine,D AH T ER M AH N,D IH T ER M AH N D
de,D IY,D IH D
refer,R AH F ER,R AH F ER D
fit,F IH T,F IH T AH D
undertake,AH N D ER T EY K,AH N D ER T UH K
it,IH T,IH T
write,R AY T,R OW T
say,S EY,S EH D
worth,W ER TH,W ER TH
cause,K AA Z,K AA Z D
rise,R AY Z,R OW Z
it,IH T,IH T
erect,IH R EH K T,IH R EH K T AH D
it,IH T,IH T
bite,B AY T,B IH T
exercise,EH K S ER S AY Z,EH K S ER S AY Z D
become,B IH K AH M,B IH K EY M
limit,L IH M AH T,L IH M AH T AH D
put,P UH T,P UH T
have,HH AE V,HH AE D
express,IH K S P R EH S,IH K S P R EH S T
engage,EH N G EY JH,EH N G EY JH D
bring,B R IH NG,B R AO T
make,M EY K,M EY D
set,S EH T,S EH T
have,HH AE V,HH AE D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
it,IH T,IH T
read,R EH D,R EH D
it,IH T,IH T
have,HH AE V,HH AE D
enter,EH N T ER,EH N T ER D
move,M UW V,M UW V D
displace,D IH S P L EY S,D IH S P L EY S T
receive,R AH S IY V,R AH S IY V D
suspect,S AH S P EH K T,S AH S P EH K T IH D
say,S EY,S EH D
de,D IY,D IH D
it,IH T,IH T
it,IH T,IH T
